,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
519,David Kampf,TOR,C,59,731.18333333333,5,8,7,1,13,59.09,45,11.11,6.13,81,68,42,22,7,7,14,7,7,0,0,7,30,17,50,47,26,278,265,51.20
541,Zach Whitecloud,VGK,D,74,1295.8,4,9,5,4,13,27.08,72,5.56,3.24,194,111,53,6,5,20,37,13,11,1,1,12,74,14,116,188,103,0,0,-
561,Ty Emberson,EDM,D,76,1148.6166666667,2,11,7,4,13,30.95,62,3.23,2.2,154,94,36,4,6,14,18,6,4,2,0,10,47,32,123,199,97,0,0,-
645,Drew Helleson,ANA,D,56,915.66666666667,4,9,6,3,13,33.33,63,6.35,2.29,152,92,45,7,11,9,47,18,16,1,1,6,47,17,99,97,73,0,0,-
657,Jayden Struble,MTL,D,56,837.45,2,11,5,6,13,38.24,47,4.26,1.72,136,68,34,4,8,13,52,18,15,2,1,7,51,23,124,90,54,0,0,-
687,Tye Kartye,SEA,L,63,609.9,6,7,3,4,13,59.09,56,10.71,4.92,113,81,68,23,1,9,43,20,19,1,0,25,24,4,175,51,29,3,12,20.00
715,Justin Barron,"MTL, NSH",D,62,1080.75,6,7,3,4,13,34.21,73,8.22,3.8,172,107,58,11,7,10,23,10,9,1,0,8,54,14,79,97,83,0,0,-
749,Artem Zub,OTT,D,56,1155.4666666667,2,11,4,7,13,30.95,57,3.51,3.31,136,83,36,8,9,9,34,17,17,0,0,12,50,19,57,77,118,0,0,-
847,Denton Mateychuk,CBJ,D,45,811.58333333333,4,9,7,2,13,33.33,44,9.09,2.57,111,72,29,5,2,5,20,9,9,0,0,5,35,19,26,114,63,0,0,-
15,Trevor Lewis,L.A,C,60,613.3,6,6,2,4,12,75.00,53,11.32,6.14,114,94,42,20,4,6,20,10,10,0,0,2,22,4,100,52,35,93,105,46.97
32,Alec Martinez,CHI,D,44,824.05,5,7,0,7,12,37.50,38,13.16,1.58,116,67,27,1,2,7,8,3,3,0,0,0,41,9,24,64,81,0,0,-
316,Kevin Labanc,CBJ,R,34,356.81666666667,2,10,2,8,12,80.00,35,5.71,2.75,93,60,35,13,3,6,12,6,6,0,0,2,14,6,29,21,14,0,3,0.00
352,Brandon Carlo,"BOS, TOR",D,83,1568.7,1,11,1,10,12,20.34,77,1.30,2.86,202,128,42,3,12,14,37,16,15,1,0,7,107,21,90,146,157,0,0,-
381,Noel Acciari,PIT,C,79,1087,5,7,5,2,12,48.00,75,6.67,10.86,151,115,106,61,8,16,16,7,7,0,0,17,33,14,180,81,100,321,277,53.68
478,Nicolas Hague,VGK,D,68,1155.7333333333,5,7,2,5,12,29.27,74,6.76,3.66,177,104,35,7,4,14,40,13,9,4,0,12,56,18,81,168,74,0,0,-
587,Declan Chisholm,MIN,D,66,1121.5166666667,2,10,6,4,12,27.91,69,2.90,2.41,161,95,36,8,6,12,10,5,5,0,0,2,83,27,33,112,69,0,0,-
608,Brayden Pachal,CGY,D,76,1082.25,3,9,5,4,12,32.43,61,4.92,2.2,196,102,47,6,10,19,88,34,29,4,1,22,64,16,158,91,83,0,0,-
647,Henry Thrun,S.J,D,60,1050.8166666667,2,10,2,8,12,38.71,52,3.85,1.79,114,74,27,1,1,7,30,12,10,2,0,5,37,12,43,100,66,0,0,-
691,Cole Smith,NSH,"L, R",71,966.01666666667,4,8,4,4,12,54.55,69,5.80,8.47,140,101,82,39,6,19,59,19,12,7,0,20,41,18,161,117,29,9,8,52.94
719,Sam Colangelo,ANA,R,32,399.56666666667,10,2,2,0,12,50.00,41,24.39,5.85,88,68,52,24,5,7,2,1,1,0,0,2,17,1,67,34,17,4,11,26.67
722,Alexander Holtz,VGK,R,53,614,4,8,4,4,12,57.14,69,5.80,8.45,136,110,66,30,7,14,10,5,5,0,0,4,35,3,39,61,15,3,10,23.08
742,Marat Khusnutdinov,"BOS, MIN",C,75,906.38333333333,5,7,4,3,12,60.00,41,12.20,4.58,77,66,48,20,4,4,20,9,9,0,0,2,47,6,55,69,47,189,244,43.65
97,Derek Forbort,VAN,D,54,923.48333333333,2,9,4,5,11,42.31,39,5.13,1.48,115,66,28,0,2,7,45,18,15,3,0,16,55,8,65,90,77,0,0,-
227,Anthony Duclair,NYI,L,44,661.83333333333,7,4,4,0,11,45.83,60,11.67,7.04,121,89,64,32,3,9,10,5,5,0,0,10,43,9,26,40,21,0,1,0.00
243,William Carrier,CAR,L,43,504.48333333333,4,7,4,3,11,52.38,48,8.33,8.12,114,81,74,40,6,17,16,8,8,0,0,7,19,11,156,61,12,6,6,50.00
514,Alexandre Texier,STL,C,31,387.11666666667,6,5,4,1,11,61.11,50,12.00,5.3,89,71,44,16,4,7,10,5,5,0,0,4,13,5,20,15,11,0,2,0.00
538,Sean Durzi,UTA,D,30,619.43333333333,4,7,3,4,11,32.35,39,10.26,3.08,131,68,41,9,4,12,19,8,7,1,0,5,46,11,15,60,52,0,0,-
579,Jakub Lauko,"BOS, MIN",C,56,599.98333333333,5,6,3,3,11,68.75,42,11.90,4.51,87,68,45,19,6,6,47,16,11,5,0,12,25,6,120,51,39,1,9,10.00
612,Kyle MacLean,NYI,C,81,806.95,4,7,4,3,11,55.00,61,6.56,5.85,120,92,56,28,5,8,14,7,7,0,0,10,26,12,108,41,29,273,293,48.23
639,John Beecher,BOS,C,78,880.11666666667,3,8,7,1,11,45.83,44,6.82,6.69,98,79,52,21,8,9,26,13,13,0,0,12,49,14,84,71,71,282,260,52.03
676,Zac Jones,NYR,D,46,793.68333333333,1,10,4,6,11,44.00,51,1.96,3.48,118,86,42,4,3,8,24,11,11,0,0,4,40,16,28,67,46,0,0,-
681,Elmer Soderblom,DET,L,26,347.63333333333,4,7,3,4,11,64.71,38,10.53,5.79,84,69,52,29,4,6,6,3,3,0,0,3,21,5,43,35,12,4,11,26.67
779,Aatu Raty,VAN,C,33,351.68333333333,7,4,2,2,11,68.75,34,20.59,3.68,60,47,36,19,0,8,14,7,7,0,0,5,8,2,80,20,7,191,142,57.36
858,Matthew Poitras,BOS,C,33,431.9,1,10,7,3,11,78.57,29,3.45,3.71,76,54,47,14,3,6,8,4,4,0,0,12,28,14,12,49,10,59,70,45.74
910,Collin Graf,S.J,R,33,523.36666666667,5,6,4,2,11,50.00,40,12.50,4.23,64,55,42,22,1,4,8,4,4,0,0,3,15,7,20,19,15,4,8,33.33
46,TJ Brodie,CHI,D,54,844.15,2,8,1,7,10,41.67,23,8.70,1.43,77,46,22,4,2,7,18,9,9,0,0,3,46,14,16,96,58,0,0,-
166,Mathew Dumba,DAL,D,63,963.9,1,9,6,3,10,21.74,57,1.75,3.38,199,109,59,9,7,20,60,23,20,2,1,8,62,16,70,95,60,0,0,-
205,Vinnie Hinostroza,"MIN, NSH",C,38,494.63333333333,5,5,1,4,10,47.62,48,10.42,6.49,104,82,50,34,3,9,10,5,5,0,0,5,31,8,41,42,12,7,10,41.18
269,Jordan Oesterle,"BOS, NSH",D,37,634.63333333333,4,6,3,3,10,38.46,38,10.53,1.81,100,64,19,4,4,5,4,2,2,0,0,2,51,15,27,73,57,0,0,-
402,Kevin Rooney,CGY,C,70,659.16666666667,5,5,2,3,10,55.56,54,9.26,6.01,104,77,49,29,9,7,14,7,7,0,0,11,30,9,109,70,39,195,218,47.22
418,Jesse Puljujarvi,"FLA, PIT",R,31,365.26666666667,4,6,2,4,10,71.43,50,8.00,5.66,103,76,54,24,6,16,15,6,5,1,0,4,15,3,80,37,9,0,1,0.00
423,Beck Malenstyn,BUF,L,76,800.35,4,6,5,1,10,55.56,67,5.97,6.61,133,105,67,39,6,13,29,13,12,1,0,18,39,10,190,102,63,19,15,55.88
438,Dennis Cholowski,"N.J, NYI",D,39,509.75,3,7,2,5,10,47.62,30,10.00,1.1,75,44,22,4,3,8,10,5,5,0,0,0,38,8,5,31,33,0,0,-
444,Nathan Bastian,N.J,R,59,645.31666666667,4,6,4,2,10,71.43,44,9.09,6.76,84,62,48,28,8,7,31,10,8,1,1,9,24,2,137,63,27,8,17,32.00
503,Henri Jokiharju,"BOS, BUF",D,60,1069.55,3,7,3,4,10,18.87,59,5.08,2.2,174,100,45,3,9,17,14,7,7,0,0,2,64,13,49,83,53,0,0,-
586,Connor Dewar,"PIT, TOR",C,48,554.76666666667,4,6,1,5,10,76.92,55,7.27,7.56,104,72,61,32,7,13,14,4,2,2,0,10,36,6,129,48,37,53,71,42.74
604,Simon Benoit,TOR,D,78,1290.6166666667,1,9,4,5,10,20.83,48,2.08,1.66,102,72,26,1,5,3,59,25,22,3,0,12,70,16,204,127,111,0,0,-
626,Kaedan Korczak,VGK,D,40,602.93333333333,0,10,5,5,10,32.26,34,0.00,0.97,87,48,26,0,1,13,2,1,1,0,0,0,36,7,59,69,40,0,0,-
707,Tyler Kleven,OTT,D,79,1142.7833333333,4,6,3,3,10,30.30,78,5.13,2.76,189,114,43,3,5,6,27,12,11,1,0,12,64,30,104,181,97,0,0,-
725,Brett Berard,NYR,L,35,375.01666666667,6,4,1,3,10,76.92,59,10.17,4.77,108,78,47,23,5,14,8,4,4,0,0,8,18,7,53,36,20,3,4,42.86
728,Jack Thompson,S.J,D,31,489.5,4,6,4,2,10,58.82,41,9.76,1.4,98,61,27,9,5,10,10,5,5,0,0,0,37,7,12,44,54,0,0,-
873,Adam Klapka,CGY,R,31,299.21666666667,6,4,4,0,10,83.33,44,13.64,4.75,75,59,40,27,4,9,29,9,7,1,1,5,11,6,107,32,25,6,11,35.29
