,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
611,John Ludvig,COL,D,8,103.6,0,2,0,2,2,100.00,9,0.00,0.24,13,10,3,1,0,0,6,3,3,0,0,1,5,1,16,8,6,0,0,-
619,Noah Philp,EDM,C,15,136.13333333333,0,2,1,1,2,40.00,17,0.00,2.02,35,27,18,10,1,5,2,1,1,0,0,0,8,1,15,10,7,40,62,39.22
765,Alex Steeves,TOR,C,7,69.233333333333,1,1,0,1,2,66.67,7,14.29,0.67,12,11,6,3,0,1,0,0,0,0,0,1,0,0,19,11,1,0,0,-
797,Brennan Othmann,NYR,L,22,219.36666666667,0,2,1,1,2,16.67,20,0.00,2.74,49,36,31,10,2,4,2,1,1,0,0,4,6,1,43,16,7,0,3,0.00
798,Joshua Roy,MTL,R,12,132.21666666667,2,0,0,0,2,66.67,14,14.29,2.25,30,26,17,9,1,3,2,1,1,0,0,1,5,3,6,13,8,1,0,100.00
805,Oliver Kapanen,MTL,C,18,196.01666666667,0,2,0,2,2,40.00,16,0.00,1.61,36,24,22,8,1,3,2,1,1,0,0,4,8,1,1,15,8,24,32,42.86
806,Justin Robidas,CAR,C,2,22.283333333333,1,1,1,0,2,100.00,3,33.33,0.48,7,4,3,1,0,1,0,0,0,0,0,0,1,0,2,2,0,8,10,44.44
839,Kevin Korchinski,CHI,D,16,273.43333333333,1,1,0,1,2,15.38,14,7.14,0.5,32,21,10,2,1,0,8,4,4,0,0,2,14,4,2,25,14,0,0,-
884,Luca Cagnoni,S.J,D,6,105.85,0,2,0,2,2,66.67,7,0.00,0.62,23,12,9,3,0,2,8,3,3,0,0,2,5,2,1,9,9,0,0,-
915,Ivan Demidov,MTL,R,2,27.416666666667,1,1,1,0,2,100.00,5,20.00,0.56,10,9,5,2,1,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0.00
103,Chris Wagner,COL,R,28,198.66666666667,1,0,0,0,1,100.00,29,3.45,3.07,48,41,22,13,4,8,14,4,2,2,0,6,4,1,57,18,13,48,60,44.44
116,Kevin Gravel,NSH,D,6,107.01666666667,0,1,1,0,1,20.00,6,0.00,0.25,19,11,3,1,1,0,0,0,0,0,0,0,7,0,7,15,8,0,0,-
128,T.J. Tynan,COL,C,9,70.716666666667,0,1,0,1,1,100.00,5,0.00,0.85,10,8,4,2,1,1,4,2,2,0,0,0,5,0,5,6,4,7,14,33.33
134,Joseph LaBate,CBJ,C,6,54.633333333333,0,1,0,1,1,33.33,3,0.00,0.39,5,4,3,1,0,1,10,2,0,2,0,4,1,0,14,3,11,0,2,0.00
168,Brendan Gaunce,MIN,C,12,116.33333333333,0,1,1,0,1,100.00,11,0.00,1.14,25,21,8,1,0,3,4,2,2,0,0,0,7,2,18,8,7,39,42,48.15
200,Andreas Athanasiou,CHI,C,8,80.216666666667,1,0,0,0,1,25.00,8,12.50,0.78,15,12,9,4,0,0,0,0,0,0,0,0,2,2,6,1,6,26,30,46.43
214,Chad Ruhwedel,NYR,D,5,70.516666666667,0,1,1,0,1,25.00,1,0.00,0.05,7,4,1,0,0,0,0,0,0,0,0,0,4,1,8,6,5,0,0,-
221,Joshua Brown,EDM,D,10,126.1,0,1,0,1,1,33.33,9,0.00,0.28,18,12,5,0,0,0,11,4,3,1,0,2,3,0,21,14,18,0,0,-
264,Dakota Mermis,"TOR, UTA",D,4,60.816666666667,0,1,1,0,1,33.33,6,0.00,0.32,13,9,8,1,1,3,2,1,1,0,0,0,5,0,3,3,4,0,0,-
270,Patrick Brown,BOS,C,15,158.48333333333,0,1,1,0,1,50.00,11,0.00,1.04,22,16,13,5,4,2,8,4,4,0,0,1,10,3,46,15,12,20,24,45.45
307,William Lagesson,DET,D,7,101.98333333333,0,1,0,1,1,33.33,5,0.00,0.15,10,7,0,0,1,0,4,2,2,0,0,1,7,0,6,10,7,0,0,-
314,Clark Bishop,CGY,C,6,43.5,1,0,0,0,1,100.00,4,25.00,0.27,4,4,2,2,0,0,0,0,0,0,0,1,2,1,8,4,2,7,11,38.89
322,Bokondji Imama,PIT,L,16,90.65,1,0,0,0,1,25.00,10,10.00,0.44,13,12,6,0,1,1,30,8,5,2,1,2,3,0,45,7,7,0,0,-
365,Jeremy Lauzon,NSH,D,28,503.2,0,1,0,1,1,7.14,25,0.00,1.18,70,40,17,3,2,6,37,14,11,3,0,9,19,4,125,34,34,0,0,-
401,Andrew Poturalski,S.J,C,3,43.366666666667,0,1,0,1,1,100.00,5,0.00,0.26,6,5,3,2,2,1,2,1,1,0,0,0,1,0,0,4,4,21,22,48.84
405,Joey Anderson,CHI,R,18,223.08333333333,0,1,1,0,1,33.33,17,0.00,1.57,31,20,17,7,1,3,0,0,0,0,0,1,4,8,12,21,13,3,2,60.00
451,Drake Caggiula,EDM,L,7,51.1,0,1,1,0,1,50.00,6,0.00,0.34,9,7,7,2,1,1,5,1,0,1,0,2,3,0,8,6,3,1,0,100.00
455,Joona Koppanen,PIT,L,11,147.21666666667,1,0,0,0,1,25.00,10,10.00,0.69,16,13,5,2,0,1,0,0,0,0,0,0,11,0,40,9,3,18,28,39.13
458,Tanner Laczynski,VGK,C,8,68.8,1,0,0,0,1,100.00,2,50.00,0.88,6,4,4,3,0,0,6,3,3,0,0,1,0,0,3,12,3,16,21,43.24
473,Dominik Shine,DET,R,9,77.8,0,1,0,1,1,33.33,5,0.00,0.47,8,6,3,2,0,0,15,2,0,1,1,3,5,3,16,10,3,0,0,-
482,Cale Fleury,SEA,D,14,180.13333333333,0,1,0,1,1,16.67,16,0.00,0.64,34,24,8,2,1,4,0,0,0,0,0,1,10,5,30,16,28,0,0,-
485,Jaret Anderson-Dolan,WPG,C,7,69.55,0,1,1,0,1,33.33,8,0.00,0.66,12,11,5,2,0,1,4,2,2,0,0,0,2,1,23,9,6,1,1,50.00
512,Ian Mitchell,BOS,D,15,234,0,1,0,1,1,12.50,10,0.00,0.45,26,19,3,0,0,3,2,1,1,0,0,2,13,5,5,25,23,0,0,-
526,Emil Bemstrom,PIT,C,14,116.63333333333,0,1,1,0,1,100.00,13,0.00,1.07,25,18,13,5,2,2,0,0,0,0,0,1,5,1,12,12,3,2,1,66.67
534,Skyler Brind'Amour,CAR,C,2,33.166666666667,1,0,0,0,1,100.00,1,100.00,0.6,5,3,4,3,0,1,2,1,1,0,0,0,4,0,1,3,1,17,8,68.00
557,Patrick Giles,"FLA, S.J",R,17,156.93333333333,1,0,0,0,1,50.00,15,6.67,1.2,21,20,15,5,0,2,0,0,0,0,0,0,8,1,20,11,7,33,64,34.02
558,Michael Callahan,BOS,D,17,240.43333333333,1,0,0,0,1,11.11,9,11.11,0.24,29,15,6,0,0,3,7,2,1,1,0,1,11,1,8,18,12,0,0,-
595,Jack St. Ivany,PIT,D,19,310.98333333333,0,1,0,1,1,14.29,12,0.00,0.38,35,22,8,1,3,2,17,7,6,1,0,5,16,7,38,12,25,0,0,-
601,Angus Crookshank,OTT,L,8,78.666666666667,0,1,1,0,1,33.33,9,0.00,1.06,21,12,10,6,3,0,0,0,0,0,0,1,6,0,11,12,4,1,2,33.33
621,Nolan Foote,N.J,L,7,68.766666666667,0,1,0,1,1,33.33,5,0.00,0.45,15,12,5,3,0,0,0,0,0,0,0,0,2,1,11,9,1,1,1,50.00
641,John Farinacci,BOS,C,1,10.966666666667,1,0,0,0,1,100.00,1,100.00,0.07,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2,75.00
649,Ville Heinola,WPG,D,18,255.38333333333,0,1,0,1,1,11.11,12,0.00,0.49,38,26,7,1,0,3,4,2,2,0,0,3,15,7,8,28,16,0,0,-
655,Sam Poulin,PIT,R,7,70.516666666667,0,1,0,1,1,50.00,3,0.00,0.45,11,9,3,2,0,1,2,1,1,0,0,1,7,2,10,9,0,0,0,-
678,Mat?j  Blümel,DAL,R,7,59.033333333333,1,0,0,0,1,100.00,10,10.00,1.16,15,12,9,5,2,0,0,0,0,0,0,1,2,1,6,5,1,0,0,-
701,Justin Sourdif,FLA,R,1,9.45,1,0,0,0,1,100.00,2,50.00,0.18,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-
709,Danil Gushchin,S.J,L,12,147.6,0,1,1,0,1,20.00,16,0.00,2.17,41,28,20,13,5,2,6,3,3,0,0,2,1,0,6,8,6,1,0,100.00
711,Ozzy Wiesblatt,NSH,C,5,55.5,0,1,1,0,1,50.00,4,0.00,0.39,10,6,7,2,1,1,0,0,0,0,0,1,1,0,13,9,3,0,0,-
738,Helge Grans,PHI,D,6,86.75,0,1,0,1,1,33.33,5,0.00,0.38,13,8,6,2,1,1,2,1,1,0,0,0,8,2,4,10,5,0,0,-
743,Ian Moore,ANA,D,3,40.916666666667,0,1,0,1,1,100.00,4,0.00,0.16,9,8,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,0,0,-
744,Isaak Phillips,CHI,D,3,35.683333333333,1,0,0,0,1,50.00,3,33.33,0.04,5,3,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,0,0,-
746,Ethan Cardwell,S.J,R,6,69.183333333333,1,0,0,0,1,50.00,5,20.00,0.59,11,8,5,2,1,2,2,1,1,0,0,2,5,1,8,1,3,1,1,50.00
750,Callahan Burke,VGK,C,7,75.883333333333,1,0,0,0,1,25.00,12,8.33,1.33,17,15,10,4,0,0,2,1,1,0,0,0,3,0,0,8,3,1,0,100.00
752,Jeff Malott,L.A,L,12,123.3,0,1,0,1,1,25.00,13,0.00,0.99,28,20,15,7,3,2,7,2,1,1,0,4,4,2,19,18,7,1,1,50.00
755,Ilya Solovyov,CGY,D,5,78.35,0,1,1,0,1,100.00,6,0.00,0.06,18,9,3,0,1,2,2,1,1,0,0,1,6,3,12,11,8,0,0,-
766,Mike Hardman,N.J,L,2,18.083333333333,0,1,0,1,1,100.00,2,0.00,0.18,4,3,2,2,0,0,0,0,0,0,0,0,0,0,4,1,3,0,1,0.00
767,Matt Kiersted,FLA,D,2,25.35,0,1,0,1,1,100.00,0,-,0.01,2,1,0,0,0,0,2,1,1,0,0,1,1,0,3,2,1,0,0,-
772,Dylan Duke,T.B,L,2,15.716666666667,1,0,0,0,1,100.00,1,100.00,0.09,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,-
799,Ryan Winterton,SEA,C,12,130,0,1,1,0,1,33.33,15,0.00,1.22,24,17,9,2,0,0,2,1,1,0,0,3,4,1,20,9,6,1,1,50.00
803,Isak Rosen,BUF,R,8,77.116666666667,0,1,1,0,1,50.00,8,0.00,0.39,15,10,8,2,1,1,0,0,0,0,0,0,5,1,3,9,2,0,0,-
815,Ville Ottavainen,SEA,D,1,14.4,0,1,0,1,1,100.00,1,0.00,0.01,4,2,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,-
821,Arshdeep Bains,VAN,L,13,136.55,1,0,0,0,1,33.33,8,12.50,1.44,16,12,8,5,1,1,0,0,0,0,0,0,4,1,17,7,7,3,1,75.00
823,Declan Carlile,T.B,D,3,39.016666666667,1,0,0,0,1,50.00,3,33.33,0.12,8,6,2,0,0,0,0,0,0,0,0,0,3,0,1,4,2,0,0,-
824,Taylor Ward,L.A,R,1,14.866666666667,1,0,0,0,1,100.00,4,25.00,0.64,5,4,4,4,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,100.00
825,Owen Beck,MTL,C,12,119.8,0,1,0,1,1,50.00,10,0.00,1.12,18,15,9,5,2,0,0,0,0,0,0,2,11,1,23,26,8,21,18,53.85
842,Brad Lambert,WPG,C,5,58.033333333333,0,1,0,1,1,100.00,1,0.00,0.17,9,4,4,2,0,0,2,1,1,0,0,0,1,0,5,4,4,5,10,33.33
860,Matt Savoie,EDM,C,4,50.066666666667,0,1,1,0,1,50.00,6,0.00,1.25,15,10,14,5,0,1,0,0,0,0,0,0,1,1,3,2,1,4,2,66.67
866,Lucas Condotta,MTL,L,7,57.416666666667,1,0,0,0,1,50.00,5,20.00,0.51,10,7,7,2,0,0,0,0,0,0,0,0,2,0,10,3,3,17,12,58.62
869,Georgii Merkulov,BOS,C,6,82.4,0,1,1,0,1,25.00,7,0.00,0.82,13,12,7,2,1,2,2,1,1,0,0,1,2,1,2,8,7,0,1,0.00
870,Wyatt Aamodt,COL,D,2,34.233333333333,1,0,0,0,1,100.00,3,33.33,0.1,6,4,3,0,0,0,0,0,0,0,0,0,3,1,6,2,9,0,0,-
879,Parker Ford,WPG,C,3,23.5,1,0,0,0,1,50.00,2,50.00,0.44,4,4,2,2,0,1,2,1,1,0,0,0,2,2,5,3,1,0,0,-
889,Ryan Leonard,WSH,R,9,127.6,1,0,0,0,1,50.00,17,5.88,2.44,31,22,14,5,1,1,11,4,3,1,0,6,6,4,18,15,4,1,0,100.00
891,Bradly Nadeau,CAR,L,2,22.966666666667,0,1,1,0,1,50.00,8,0.00,0.54,8,8,4,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,-
893,Calum Ritchie,COL,C,7,89.466666666667,1,0,0,0,1,50.00,11,9.09,1.57,20,17,13,8,0,2,0,0,0,0,0,0,4,1,6,8,2,3,4,42.86
896,Matthew Wood,NSH,R,6,69.483333333333,0,1,1,0,1,50.00,8,0.00,0.84,17,14,7,1,0,2,2,1,1,0,0,0,5,2,2,5,2,1,2,33.33
903,Zayne Parekh,CGY,D,1,20.516666666667,1,0,0,0,1,33.33,2,50.00,0.12,3,2,1,0,0,0,2,1,1,0,0,1,1,0,1,2,1,0,0,-
907,Sam Morton,CGY,C,1,12.416666666667,1,0,0,0,1,100.00,1,100.00,0.21,3,3,2,1,0,0,0,0,0,0,0,0,0,0,4,0,1,4,3,57.14
908,Justin Hryckowian,DAL,C,5,39.4,0,1,1,0,1,100.00,3,0.00,0.25,4,4,2,1,0,2,0,0,0,0,0,1,2,0,8,8,0,3,2,60.00
912,Arttu Hyry,DAL,R,5,45.416666666667,0,1,1,0,1,100.00,5,0.00,0.24,8,5,2,1,0,1,0,0,0,0,0,1,1,1,4,3,3,11,5,68.75
95,Alex Petrovic,DAL,D,5,70.533333333333,0,0,0,0,0,0.00,5,0.00,0.42,16,10,3,1,0,1,4,2,2,0,0,0,5,1,10,6,6,0,0,-
113,Jani Hakanpää,TOR,D,2,28.166666666667,0,0,0,0,0,0.00,2,0.00,0.03,5,2,1,0,1,0,0,0,0,0,0,0,6,0,1,2,4,0,0,-
123,Travis Boyd,MIN,C,3,23.416666666667,0,0,0,0,0,-,0,-,0.07,3,1,1,1,0,1,0,0,0,0,0,0,2,0,1,2,3,0,0,-
198,Dominic Toninato,WPG,C,5,41.316666666667,0,0,0,0,0,-,2,0.00,0.06,4,4,1,0,0,0,0,0,0,0,0,0,2,0,7,3,3,3,2,60.00
204,Matthew Benning,S.J,D,7,91.283333333333,0,0,0,0,0,0.00,7,0.00,0.42,15,9,3,1,0,3,4,2,2,0,0,2,4,1,9,9,10,0,0,-
209,Jaycob Megna,FLA,D,8,128.8,0,0,0,0,0,0.00,5,0.00,0.15,14,8,5,0,0,0,2,1,1,0,0,2,6,1,3,14,9,0,0,-
211,Kurtis MacDermid,N.J,L,23,132.85,0,0,0,0,0,0.00,7,0.00,0.81,15,12,10,6,2,2,23,7,4,3,0,4,9,1,40,8,8,0,0,-
212,Scott Sabourin,S.J,R,1,10.45,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,-
240,Robert Hagg,VGK,D,2,22.283333333333,0,0,0,0,0,-,0,-,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,0,-
241,Steven Santini,T.B,D,1,11.616666666667,0,0,0,0,0,0.00,1,0.00,0.06,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,-
267,Conor Sheary,T.B,L,5,56.666666666667,0,0,0,0,0,0.00,3,0.00,0.62,8,5,5,3,0,0,4,2,2,0,0,2,0,0,2,5,1,0,1,0.00
284,Sonny Milano,WSH,L,3,21.633333333333,0,0,0,0,0,-,4,0.00,0.5,4,4,4,2,0,1,0,0,0,0,0,1,1,0,1,3,0,0,0,-
305,Mark Friedman,VAN,D,5,70.316666666667,0,0,0,0,0,0.00,4,0.00,0.1,8,6,2,0,0,0,10,1,0,0,1,0,1,2,6,8,6,0,0,-
323,Hayden Hodgson,OTT,R,2,17.15,0,0,0,0,0,-,2,0.00,0.27,4,4,2,1,1,0,5,1,0,1,0,1,2,0,7,5,1,0,0,-
332,Colin White,S.J,C,3,21.916666666667,0,0,0,0,0,-,1,0.00,0.47,3,3,3,2,0,0,0,0,0,0,0,0,1,0,2,5,1,3,10,23.08
337,Travis Dermott,"EDM, MIN",D,19,233.18333333333,0,0,0,0,0,0.00,8,0.00,0.28,24,14,8,0,1,0,2,1,1,0,0,1,9,3,6,26,16,0,0,-
357,Caleb Jones,L.A,D,6,75.416666666667,0,0,0,0,0,0.00,6,0.00,0.08,15,9,3,1,1,0,2,1,1,0,0,1,3,1,10,7,5,0,0,-
358,Noah Juulsen,VAN,D,35,570.16666666667,0,0,0,0,0,0.00,26,0.00,0.97,70,36,20,2,4,5,21,8,7,1,0,7,40,12,101,78,60,0,0,-
363,Guillaume Brisebois,VAN,D,3,47.416666666667,0,0,0,0,0,0.00,2,0.00,0.09,6,5,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,0,0,-
369,Kyle Capobianco,DAL,D,1,11.383333333333,0,0,0,0,0,-,0,-,0.01,1,1,0,0,0,0,4,2,2,0,0,0,0,1,1,1,0,0,0,-
411,Julien Gauthier,NYI,R,1,7.7,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,-
412,Rasmus Asplund,FLA,C,6,47.583333333333,0,0,0,0,0,-,2,0.00,0.23,3,3,2,0,1,0,2,1,1,0,0,0,2,4,3,5,2,9,6,60.00
416,Cam Dineen,EDM,D,4,68.75,0,0,0,0,0,0.00,8,0.00,0.42,19,14,6,1,1,2,0,0,0,0,0,1,0,2,1,12,6,0,0,-
424,Riley Tufte,BOS,L,6,55.166666666667,0,0,0,0,0,-,1,0.00,0.03,5,1,2,0,0,0,4,2,2,0,0,1,3,0,8,4,1,1,1,50.00
432,Givani Smith,"COL, S.J",R,13,82.233333333333,0,0,0,0,0,-,5,0.00,0.52,10,7,2,2,1,1,18,6,4,2,0,3,2,2,20,5,5,0,0,-
435,Riley Stillman,CAR,D,5,35.9,0,0,0,0,0,0.00,1,0.00,0.09,5,4,1,0,1,0,7,2,1,1,0,1,4,0,8,5,1,0,0,-
445,Brett Murray,BUF,L,3,23.733333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,-
448,Alex Nylander,TOR,L,5,49.433333333333,0,0,0,0,0,0.00,4,0.00,0.96,8,8,7,4,0,0,4,2,2,0,0,0,3,1,0,5,0,3,1,75.00
457,Michael Pezzetta,MTL,L,25,148.35,0,0,0,0,0,0.00,14,0.00,1.77,31,26,16,8,3,1,24,9,7,2,0,3,9,2,73,14,7,2,6,25.00
461,Nathan Clurman,PIT,D,1,11.083333333333,0,0,0,0,0,-,4,0.00,0.1,4,4,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,-
464,Dylan Coghlan,WPG,D,6,92.116666666667,0,0,0,0,0,0.00,9,0.00,0.46,23,18,4,0,1,6,4,2,2,0,0,0,8,2,2,4,7,0,0,-
468,Jeffrey Viel,BOS,L,5,38.45,0,0,0,0,0,-,3,0.00,0.64,6,5,5,4,0,1,14,4,2,2,0,4,4,2,12,4,2,1,0,100.00
469,Alex Barré-Boulet,MTL,C,2,20.316666666667,0,0,0,0,0,0.00,0,-,0,1,0,1,0,0,0,2,1,1,0,0,0,0,1,2,1,0,0,0,-
470,Tye Felhaber,COL,L,5,27.583333333333,0,0,0,0,0,-,2,0.00,0.11,4,2,4,1,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,-
492,Jonas Rondbjerg,VGK,R,13,125.13333333333,0,0,0,0,0,0.00,11,0.00,0.74,21,17,10,2,1,1,0,0,0,0,0,1,1,3,3,24,4,1,4,20.00
502,Shane Bowers,N.J,C,4,33.016666666667,0,0,0,0,0,0.00,2,0.00,0.04,2,2,1,0,0,1,0,0,0,0,0,0,1,1,9,2,1,1,0,100.00
515,Cameron Crotty,MIN,D,1,5.1333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
531,Ben Jones,MIN,C,26,217.93333333333,0,0,0,0,0,0.00,24,0.00,2.4,51,40,22,10,3,4,10,2,0,2,0,4,9,2,51,17,11,12,13,48.00
556,Alexander Alexeyev,WSH,D,8,128.56666666667,0,0,0,0,0,0.00,7,0.00,0.14,15,12,1,0,0,2,0,0,0,0,0,0,7,2,9,16,14,0,0,-
565,Grigori Denisenko,VGK,L,1,8.45,0,0,0,0,0,-,0,-,0.08,2,1,0,0,0,0,2,1,1,0,0,0,0,0,5,0,0,0,1,0.00
570,Liam Foudy,NYI,C,2,14.9,0,0,0,0,0,-,1,0.00,0.11,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,-
576,Adam Ginning,PHI,D,1,12.8,0,0,0,0,0,-,0,-,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,3,1,0,0,-
582,Jan Jenik,OTT,C,2,15.383333333333,0,0,0,0,0,-,0,-,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,33.33
603,Rafael Harvey-Pinard,MTL,L,1,8.9,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-
606,Reese Johnson,MIN,C,3,28.583333333333,0,0,0,0,0,-,1,0.00,0.11,3,1,2,1,0,0,0,0,0,0,0,0,1,0,6,3,3,0,0,-
613,Jake Lucchini,NSH,C,3,34.466666666667,0,0,0,0,0,0.00,2,0.00,0.16,3,3,1,1,0,0,2,1,1,0,0,0,0,0,2,3,0,1,1,50.00
614,Corey Schueneman,STL,D,4,56.2,0,0,0,0,0,0.00,4,0.00,0.13,9,6,3,0,0,0,0,0,0,0,0,0,2,0,1,5,7,0,0,-
615,Mason Morelli,VGK,L,1,7.5166666666667,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-
618,Jimmy Schuldt,S.J,D,8,110.26666666667,0,0,0,0,0,0.00,4,0.00,0.1,9,6,3,0,2,0,0,0,0,0,0,1,6,1,13,15,5,0,0,-
625,Matthew Robertson,NYR,D,2,35.266666666667,0,0,0,0,0,0.00,2,0.00,0.07,4,3,1,0,0,0,0,0,0,0,0,0,2,1,2,7,1,0,0,-
630,Raphael Lavoie,VGK,C,9,90.733333333333,0,0,0,0,0,0.00,10,0.00,1.47,25,17,11,7,1,4,2,1,1,0,0,1,3,0,16,10,0,0,2,0.00
632,Daniil Misyul,N.J,D,1,12.383333333333,0,0,0,0,0,-,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-
634,Samuel Bolduc,NYI,D,1,5.9333333333333,0,0,0,0,0,-,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
644,Domenick Fensore,CAR,D,2,38.133333333333,0,0,0,0,0,0.00,5,0.00,0.26,8,6,3,1,0,2,2,1,1,0,0,0,1,0,3,3,3,0,0,-
646,Ryan Johnson,BUF,D,3,53,0,0,0,0,0,0.00,3,0.00,0.56,12,9,3,2,0,1,4,2,2,0,0,0,2,0,1,9,4,0,0,-
650,Ryan Suzuki,CAR,C,2,13.183333333333,0,0,0,0,0,0.00,0,-,0.02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,42.86
658,Nathan Légaré,N.J,R,3,32.033333333333,0,0,0,0,0,-,3,0.00,0.37,4,3,3,2,0,1,0,0,0,0,0,0,0,0,12,0,1,0,0,-
661,Tobias Bjornfot,FLA,D,14,183.4,0,0,0,0,0,0.00,10,0.00,0.81,28,18,9,1,0,5,2,1,1,0,0,1,6,1,13,26,10,0,0,-
680,Maxwell Crozier,T.B,D,5,83.45,0,0,0,0,0,0.00,8,0.00,0.4,19,12,2,1,0,2,0,0,0,0,0,0,6,0,11,9,6,0,0,-
684,Matt Stienburg,COL,C,8,48.716666666667,0,0,0,0,0,0.00,4,0.00,0.35,8,6,5,4,1,0,22,4,1,2,1,5,3,0,16,7,1,0,0,-
689,Jacob Gaucher,PHI,C,4,29.366666666667,0,0,0,0,0,0.00,3,0.00,0.27,4,4,2,1,1,0,0,0,0,0,0,0,0,1,4,4,2,10,5,66.67
692,Connor Mackey,NYR,D,2,32.25,0,0,0,0,0,0.00,1,0.00,0.02,4,2,2,0,0,0,5,1,0,1,0,1,1,0,4,2,1,0,0,-
694,Jack Ahcan,COL,D,2,31.583333333333,0,0,0,0,0,0.00,1,0.00,0.04,3,2,1,0,0,2,2,1,1,0,0,0,3,0,3,2,1,0,0,-
703,Jack Finley,T.B,C,1,8.4166666666667,0,0,0,0,0,0.00,1,0.00,0.1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,3,2,60.00
706,Daemon Hunt,MIN,D,1,8.0166666666667,0,0,0,0,0,-,2,0.00,0.05,5,3,2,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,-
710,Vasily Ponomarev,PIT,C,7,70.2,0,0,0,0,0,0.00,8,0.00,0.35,13,10,4,1,0,1,2,1,1,0,0,0,4,3,5,9,2,14,13,51.85
724,Donovan Sebrango,OTT,D,2,20.616666666667,0,0,0,0,0,-,0,-,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
726,Thomas Bordeleau,S.J,C,1,10.633333333333,0,0,0,0,0,-,1,0.00,0.04,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,100.00
733,Brendan Brisson,VGK,C,9,88.8,0,0,0,0,0,0.00,7,0.00,0.55,18,12,8,2,0,2,0,0,0,0,0,0,1,1,9,11,0,0,0,-
748,Riley Duran,BOS,C,2,25.45,0,0,0,0,0,-,5,0.00,0.25,8,6,2,0,0,0,2,1,1,0,0,1,1,0,6,1,0,1,1,50.00
760,Chase Bradley,COL,L,2,11.15,0,0,0,0,0,-,0,-,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,-
763,Josh Dunne,BUF,C,2,14.183333333333,0,0,0,0,0,-,1,0.00,0.17,4,4,1,0,1,0,5,1,0,1,0,1,0,0,5,4,2,2,5,28.57
785,Oskar Olausson,COL,R,2,13.616666666667,0,0,0,0,0,-,3,0.00,0.1,3,3,2,0,0,0,0,0,0,0,0,0,2,0,1,3,2,0,0,-
787,Ryan Ufko,NSH,D,1,15.616666666667,0,0,0,0,0,0.00,0,-,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,-
795,James Malatesta,CBJ,L,2,21.133333333333,0,0,0,0,0,0.00,0,-,0.08,1,1,1,0,0,0,0,0,0,0,0,0,4,1,6,3,1,1,0,100.00
808,Carter Mazur,DET,L,1,1.1666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
812,Michael Milne,MIN,L,1,6.5666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-
