,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
395,Adam Lowry,32,WPG,LW,70,5,16,21,-6,32,4,0,1,1,15,0,1,71,7.0,161,1048:00,14:58,522,429,54.9,48,150,18,36,,lowryad01
396,Ryan McDonagh,36,TBL,D,48,6,15,21,14,6,6,0,0,0,15,0,0,39,15.4,106,924:18,19:15,0,0,,76,19,14,47,,mcdonry01
397,Michael Misa,18,SJS,F,45,9,12,21,-2,10,7,2,0,1,10,2,0,58,15.5,105,576:29,12:49,162,192,45.8,23,14,8,28,,misami01
398,Axel Sandin Pellikka,20,DET,D,68,7,14,21,-20,18,6,1,0,1,8,6,0,68,10.3,211,1102:20,16:13,0,0,,54,17,8,60,,sandiax01
399,Alex Vlasic,24,CHI,D,81,2,19,21,-16,17,2,0,0,0,18,0,1,86,2.3,213,1711:45,21:08,0,0,,119,29,28,92,,vlasial01
400,Tom Willander,20,VAN,D,70,5,16,21,-23,28,5,0,0,0,13,3,0,59,8.5,151,1189:16,16:59,0,0,,78,35,11,58,,willato01
401,Alexandre Texier,26,2TM,C,51,8,13,21,9,26,8,0,0,1,12,1,0,74,10.8,150,696:21,13:39,3,13,18.8,15,65,6,23,,texieal01
401,Alexandre Texier,26,STL,C,8,0,1,1,0,2,0,0,0,0,1,0,0,7,0.0,13,82:03,10:15,1,0,100.0,1,9,1,2,,texieal01
401,Alexandre Texier,26,MTL,C,43,8,12,20,9,24,8,0,0,1,11,1,0,67,11.9,137,614:18,14:17,2,13,13.3,14,56,5,21,,texieal01
402,Nic Dowd,35,2TM,C,75,5,16,21,-4,73,4,0,1,0,16,0,0,66,7.6,135,1090:39,14:33,476,492,49.2,50,140,19,43,,dowdni01
