,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
576,Otto Stenberg,20,STL,C,32,3,7,10,3,5,3,0,0,0,6,0,1,31,9.7,65,435:48,13:37,4,10,28.6,15,49,5,15,,stenbot01
577,Jeffrey Viel,29,2TM,F,45,3,7,10,-3,79,3,0,0,0,7,0,0,62,4.8,128,536:51,11:56,1,4,20.0,21,121,8,30,,vielje01
577,Jeffrey Viel,29,BOS,F,10,0,0,0,-1,30,0,0,0,0,0,0,0,11,0.0,21,95:03,9:30,1,1,50.0,4,27,1,2,,vielje01
577,Jeffrey Viel,29,ANA,F,35,3,7,10,-2,49,3,0,0,0,7,0,0,51,5.9,107,441:48,12:37,0,3,0.0,17,94,7,28,,vielje01
578,Spencer Stastney,26,2TM,D,66,2,8,10,-11,20,2,0,0,0,7,0,1,56,3.6,123,1023:13,15:30,0,0,,63,13,19,66,,stastsp01
578,Spencer Stastney,26,NSH,D,30,1,8,9,-1,10,1,0,0,0,7,0,1,30,3.3,67,445:59,14:52,0,0,,25,5,9,22,,stastsp01
578,Spencer Stastney,26,EDM,D,36,1,0,1,-10,10,1,0,0,0,0,0,0,26,3.8,56,577:14,16:02,0,0,,38,8,10,44,,stastsp01
579,Isak Rosen,22,2TM,RW,37,6,4,10,-5,0,5,1,0,0,2,2,0,35,17.1,95,425:40,11:30,1,2,33.3,20,17,5,18,,rosenis01
579,Isak Rosen,22,BUF,RW,16,3,4,7,-3,0,3,0,0,0,2,2,0,16,18.8,39,200:58,12:34,1,0,100.0,10,7,4,11,,rosenis01
579,Isak Rosen,22,WPG,RW,21,3,0,3,-2,0,2,1,0,0,0,0,0,19,15.8,56,224:42,10:42,0,2,0.0,10,10,1,7,,rosenis01
580,Justin Barron,24,NSH,D,52,0,9,9,-1,17,0,0,0,0,9,0,0,31,0.0,90,741:01,14:15,0,0,,60,37,4,52,,barroju01
581,Alex Bump,22,PHI,LW,17,5,4,9,3,2,5,0,0,1,4,0,0,23,21.7,54,214:54,12:38,0,2,0.0,7,16,3,12,,bumpal01
582,Cody Ceci,32,LAK,D,82,1,8,9,-10,16,1,0,0,0,7,0,1,59,1.7,187,1440:23,17:34,0,0,,114,37,13,61,,cecico01
583,Brandon Duhaime,28,WSH,RW,82,4,5,9,-2,78,3,0,1,0,5,0,0,64,6.3,145,907:37,11:04,14,29,32.6,57,159,7,29,,duhaibr01
584,Anton Frondell,18,CHI,C,12,3,6,9,-1,4,3,0,0,0,4,2,0,36,8.3,70,212:19,17:42,32,74,30.2,13,8,2,11,,frondan01
585,Noah Gregor,27,FLA,C,37,4,5,9,-10,26,4,0,0,0,4,1,0,41,9.8,89,353:43,9:34,19,27,41.3,11,37,5,11,,gregono01
586,Samuel Helenius,23,LAK,C,53,5,4,9,-6,50,5,0,0,0,4,0,0,38,13.2,84,422:55,7:59,114,138,45.2,17,144,4,14,,helensa02
587,Alexander Holtz,24,VEG,RW,28,3,6,9,-1,10,3,0,0,0,6,0,0,30,10.0,71,321:28,11:29,3,11,21.4,11,29,1,20,,holtzal01
588,Joel Kiviranta,29,COL,F,51,3,6,9,7,8,3,0,0,0,6,0,0,50,6.0,92,529:04,10:22,4,6,40.0,15,63,8,17,,kivirjo01
589,Jesperi Kotkaniemi,25,CAR,C,42,2,7,9,3,8,2,0,0,0,7,0,0,42,4.8,80,476:44,11:21,131,139,48.5,18,63,3,32,,kotkaje01
590,Ryan Lindgren,27,SEA,D,76,2,7,9,-2,60,2,0,0,1,6,0,1,48,4.2,156,1393:44,18:20,0,1,0.0,118,47,16,78,,lindgry01
591,Ryan Lomberg,31,CGY,LW,57,4,5,9,-4,59,4,0,0,1,5,0,0,53,7.5,99,515:32,9:03,5,8,38.5,17,129,3,18,,lombery01
592,Ilya Lyubushkin,31,DAL,D,53,1,8,9,1,40,1,0,0,0,8,0,0,33,3.0,69,834:15,15:44,0,0,,90,68,9,46,,lyubuil01
593,Jeff Malott,29,LAK,F,58,3,6,9,-9,55,3,0,0,0,6,0,0,54,5.6,126,511:30,8:49,4,10,28.6,27,166,8,18,,malotje01
594,Nikita Nesterenko,24,ANA,C,29,1,8,9,-2,8,1,0,0,1,8,0,0,31,3.2,69,355:27,12:15,11,17,39.3,8,53,1,14,,nesteni02
595,Zayne Parekh,19,CGY,D,37,4,5,9,-9,8,1,3,0,1,2,3,0,49,8.2,138,634:18,17:09,0,0,,30,15,9,67,,parekza01
596,Mike Reilly,32,CAR,D,42,1,8,9,11,26,0,0,1,0,8,0,0,63,1.6,152,628:33,14:58,0,0,,37,18,7,23,,reillmi01
597,Brandon Saad,33,VEG,LW,49,3,6,9,-7,14,3,0,0,0,6,0,0,78,3.8,146,655:52,13:23,9,22,29.0,18,11,11,30,,saadbr01
598,Frank Vatrano,31,ANA,LW,50,5,4,9,-15,40,5,0,0,1,3,1,0,79,6.3,148,591:07,11:49,6,8,42.9,28,84,6,17,,vatrafr01
599,Jeff Petry,38,2TM,D,67,0,9,9,-15,24,0,0,0,0,7,2,0,54,0.0,156,989:03,14:46,0,0,,65,66,9,52,,petryje01
599,Jeff Petry,38,FLA,D,58,0,8,8,-10,22,0,0,0,0,6,2,0,45,0.0,135,861:37,14:51,0,0,,57,59,4,48,,petryje01
599,Jeff Petry,38,MIN,D,9,0,1,1,-5,2,0,0,0,0,1,0,0,9,0.0,21,127:26,14:10,0,0,,8,7,5,4,,petryje01
600,Nick Bjugstad,33,2TM,C,61,6,3,9,-11,33,5,0,1,1,3,0,0,77,7.8,139,667:11,10:56,175,176,49.9,33,108,10,23,,bjugsni01
600,Nick Bjugstad,33,STL,C,35,6,1,7,-7,25,5,0,1,1,1,0,0,54,11.1,94,407:24,11:38,134,128,51.1,22,73,3,12,,bjugsni01
600,Nick Bjugstad,33,NJD,C,26,0,2,2,-4,8,0,0,0,0,2,0,0,23,0.0,45,259:47,10:00,41,48,46.1,11,35,7,11,,bjugsni01
601,Luke Glendening,36,2TM,C,70,2,7,9,-7,8,2,0,0,0,6,0,1,50,4.0,83,737:39,10:32,343,306,52.9,53,97,6,11,,glendlu01
601,Luke Glendening,36,NJD,C,52,0,4,4,-11,4,0,0,0,0,3,0,1,30,0.0,52,514:52,9:54,264,247,51.7,45,66,6,8,,glendlu01
601,Luke Glendening,36,PHI,C,18,2,3,5,4,4,2,0,0,0,3,0,0,20,10.0,31,222:47,12:23,79,59,57.2,8,31,0,3,,glendlu01
602,Lian Bichsel,21,DAL,D,50,4,4,8,6,37,4,0,0,2,4,0,0,27,14.8,89,783:20,15:40,0,0,,42,139,14,38,,bichsli01
603,Nick DeSimone,31,UTA,D,40,2,6,8,4,10,2,0,0,1,6,0,0,35,5.7,81,568:31,14:13,0,0,,31,19,5,32,,desimni01
604,Adam Erne,30,DAL,LW,45,6,2,8,1,19,6,0,0,0,2,0,0,43,14.0,87,450:18,10:00,2,8,20.0,20,141,9,17,,ernead01
605,Lenni Hameenaho,21,NJD,RW,33,2,6,8,-3,14,2,0,0,0,6,0,0,47,4.3,91,401:59,12:11,0,5,0.0,16,20,6,12,,hameele01
606,Jansen Harkins,28,ANA,C,44,3,5,8,-6,28,3,0,0,0,5,0,0,37,8.1,78,421:59,9:35,95,90,51.4,24,113,6,27,,harkija01
607,Kevin Hayes,33,PIT,RW,28,4,4,8,-1,8,4,0,0,1,4,0,0,45,8.9,81,349:16,12:28,56,83,40.3,10,32,4,20,,hayeske01
608,Mattias Janmark,33,EDM,C,43,1,7,8,-8,22,1,0,0,0,6,0,1,24,4.2,53,509:54,11:51,7,12,36.8,13,10,5,14,,janmama02
609,Calle Järnkrok,34,TOR,C,56,6,2,8,-15,8,6,0,0,0,2,0,0,45,13.3,79,663:00,11:50,28,30,48.3,11,33,4,19,,jarnkca01
610,Johnathan Kovacevic,28,NJD,D,34,0,8,8,0,38,0,0,0,0,8,0,0,30,0.0,78,607:28,17:52,0,0,,39,57,9,28,,kovacjo01
611,Sonny Milano,29,WSH,LW,31,4,4,8,0,4,4,0,0,2,4,0,0,33,12.1,57,275:23,8:53,8,4,66.7,3,9,4,19,,milanso01
612,Reid Schaefer,22,NSH,LW,47,6,2,8,-12,17,6,0,0,1,2,0,0,39,15.4,83,453:09,9:38,1,7,12.5,30,108,5,19,,schaere01
613,Donovan Sebrango,24,2TM,D,42,0,8,8,-5,68,0,0,0,0,8,0,0,33,0.0,100,634:22,15:06,0,0,,32,77,5,27,,sebrado01
613,Donovan Sebrango,24,OTT,D,2,0,0,0,-1,5,0,0,0,0,0,0,0,1,0.0,5,30:27,15:14,0,0,,0,1,0,1,,sebrado01
613,Donovan Sebrango,24,FLA,D,40,0,8,8,-4,63,0,0,0,0,8,0,0,32,0.0,95,603:55,15:06,0,0,,32,76,5,26,,sebrado01
614,Jaccob Slavin,31,CAR,D,39,1,7,8,8,4,1,0,0,1,5,0,2,63,1.6,127,831:06,21:19,0,0,,54,6,32,37,,slavija01
615,Conor Timmins,27,BUF,D,39,0,8,8,-8,18,0,0,0,0,8,0,0,44,0.0,108,731:43,18:46,0,0,,81,29,8,45,,timmico01
616,Sammy Blais,29,2TM,LW,21,3,5,8,2,10,3,0,0,0,5,0,0,18,16.7,28,176:56,8:26,1,2,33.3,12,78,4,2,,blaissa01
616,Sammy Blais,29,TOR,LW,8,1,2,3,-2,4,1,0,0,0,2,0,0,7,14.3,11,66:17,8:17,1,0,100.0,5,28,1,2,,blaissa01
616,Sammy Blais,29,MTL,LW,13,2,3,5,4,6,2,0,0,0,3,0,0,11,18.2,17,110:39,8:31,0,2,0.0,7,50,3,0,,blaissa01
617,Jacob Bryson,28,2TM,D,50,2,6,8,-9,10,2,0,0,0,6,0,0,22,9.1,60,543:09,10:52,0,0,,29,14,5,17,,brysoja01
617,Jacob Bryson,28,BUF,D,35,2,3,5,-1,8,2,0,0,0,3,0,0,12,16.7,40,351:14,10:02,0,0,,20,9,2,11,,brysoja01
617,Jacob Bryson,28,WPG,D,15,0,3,3,-8,2,0,0,0,0,3,0,0,10,0.0,20,191:55,12:48,0,0,,9,5,3,6,,brysoja01
618,Ilya Solovyov,25,2TM,D,30,1,7,8,0,16,1,0,0,0,7,0,0,23,4.3,68,382:24,12:45,0,0,,33,35,5,19,,solovil01
618,Ilya Solovyov,25,COL,D,16,1,2,3,-1,6,1,0,0,0,2,0,0,14,7.1,43,185:03,11:34,0,0,,19,19,3,6,,solovil01
618,Ilya Solovyov,25,PIT,D,14,0,5,5,1,10,0,0,0,0,5,0,0,9,0.0,25,197:21,14:06,0,0,,14,16,2,13,,solovil01
619,Lukas Reichel,23,3TM,LW,29,3,5,8,-2,6,3,0,0,1,5,0,0,24,12.5,52,361:01,12:27,46,71,39.3,16,9,5,20,,reichlu01
619,Lukas Reichel,23,CHI,LW,5,2,2,4,1,2,2,0,0,0,2,0,0,6,33.3,10,49:19,9:52,2,5,28.6,3,1,1,4,,reichlu01
619,Lukas Reichel,23,VAN,LW,14,0,1,1,-5,4,0,0,0,0,1,0,0,9,0.0,26,183:30,13:06,44,66,40.0,8,6,1,9,,reichlu01
619,Lukas Reichel,23,BOS,LW,10,1,2,3,2,0,1,0,0,1,2,0,0,9,11.1,16,128:12,12:49,0,0,,5,2,3,7,,reichlu01
620,Nathan Bastian,28,DAL,RW,36,6,1,7,4,21,6,0,0,0,1,0,0,25,24.0,43,311:12,8:39,0,2,0.0,7,85,1,11,,bastina01
621,Hunter Brzustewicz,21,CGY,D,34,2,5,7,0,4,2,0,0,0,4,1,0,33,6.1,76,548:46,16:08,0,0,,23,24,5,26,,brzushu01
622,Danil But,20,UTA,LW,29,3,4,7,1,8,2,1,0,0,2,2,0,43,7.0,94,361:37,12:28,7,14,33.3,18,16,4,18,,butda01
623,Brandon Carlo,29,TOR,D,55,0,7,7,4,37,0,0,0,0,6,0,1,66,0.0,142,1065:06,19:22,0,0,,98,65,7,53,,carlobr01
624,Declan Chisholm,26,WSH,D,26,1,6,7,3,4,1,0,0,0,6,0,0,20,5.0,52,356:52,13:44,0,0,,22,11,5,28,,chishde01
625,Nate Danielson,21,DET,C,28,2,5,7,-7,4,2,0,0,0,2,3,0,31,6.5,59,309:29,11:03,55,91,37.7,9,8,8,17,,daniena01
626,Vincent Desharnais,29,SJS,D,53,1,6,7,7,68,1,0,0,1,6,0,0,34,2.9,101,963:24,18:11,0,0,,83,103,10,50,,deshavi01
627,Trent Frederic,27,EDM,C,74,4,3,7,-15,58,4,0,0,1,3,0,0,77,5.2,139,816:54,11:02,89,67,57.1,22,193,9,35,,fredetr01
628,Marc Gatcomb,26,NYI,F,49,3,4,7,-3,10,3,0,0,0,4,0,0,55,5.5,94,494:16,10:05,1,3,25.0,24,192,6,12,,gatcoma01
629,Joel Hanley,34,CGY,D,68,0,7,7,-5,44,0,0,0,0,7,0,0,43,0.0,118,997:33,14:40,0,0,,90,42,10,53,,hanlejo01
630,William Karlsson,33,VEG,C,14,4,3,7,-1,4,2,1,1,1,3,0,0,30,13.3,48,212:03,15:09,91,67,57.6,13,3,3,11,,karlswi01
631,Ville Koivunen,22,PIT,RW,39,2,5,7,-10,10,1,1,0,0,2,3,0,36,5.6,86,496:46,12:44,2,0,100.0,14,5,11,18,,koivuvi01
632,Nick Leddy,34,SJS,D,32,1,6,7,-9,6,1,0,0,0,6,0,0,16,6.3,51,571:51,17:52,0,0,,40,7,5,21,,leddyni01
633,Kyle MacLean,26,NYI,F,59,2,5,7,-6,40,2,0,0,0,5,0,0,43,4.7,95,620:39,10:31,48,31,60.8,23,121,8,30,,macleky01
634,Stefan Noesen,32,NJD,RW,38,3,4,7,-12,33,2,1,0,1,2,2,0,52,5.8,93,446:40,11:45,16,17,48.5,15,33,3,23,,noesest01
635,Jani Nyman,21,SEA,RW,28,4,3,7,-5,6,3,1,0,0,2,1,0,33,12.1,70,295:54,10:34,2,4,33.3,6,23,1,13,,nymanja01
636,Zack Ostapchuk,22,SJS,C,59,4,3,7,-11,45,4,0,0,2,3,0,0,44,9.1,75,595:35,10:06,236,221,51.6,29,140,8,20,,ostapza01
637,Brayden Pachal,26,CGY,D,39,1,6,7,-1,47,1,0,0,0,6,0,0,28,3.6,85,541:09,13:53,0,0,,40,89,7,31,,pachabr01
638,Brett Pesce,31,NJD,D,37,1,6,7,-11,6,1,0,0,0,6,0,0,45,2.2,87,751:17,20:18,0,0,,80,11,16,23,,pescebr01
639,Luke Schenn,36,2TM,D,50,1,6,7,-12,43,1,0,0,0,6,0,0,35,2.9,96,683:14,13:40,0,0,,57,149,7,44,,schenlu01
639,Luke Schenn,36,WPG,D,46,1,6,7,-11,32,1,0,0,0,6,0,0,32,3.1,89,632:06,13:44,0,0,,54,139,7,40,,schenlu01
639,Luke Schenn,36,BUF,D,4,0,0,0,-1,11,0,0,0,0,0,0,0,3,0.0,7,51:08,12:47,0,0,,3,10,0,4,,schenlu01
640,Cole Schwindt,24,FLA,RW,29,5,2,7,2,2,5,0,0,0,2,0,0,25,20.0,45,291:06,10:02,91,115,44.2,11,39,3,8,,schwico01
641,Landon Slaggert,23,CHI,LW,53,3,4,7,-2,16,3,0,0,1,4,0,0,47,6.4,83,559:23,10:33,1,2,33.3,24,79,4,12,,slaggla01
642,Jack St. Ivany,26,PIT,D,20,0,7,7,4,6,0,0,0,0,7,0,0,17,0.0,43,326:31,16:20,0,0,,24,48,4,22,,stivajo01
643,Taylor Ward,27,LAK,F,36,3,4,7,0,7,3,0,0,0,4,0,0,38,7.9,99,340:53,9:28,4,6,40.0,9,38,2,20,,wardta01
644,John Beecher,24,2TM,C,35,3,4,7,-6,31,2,0,1,0,3,0,1,37,8.1,68,365:12,10:26,85,111,43.4,31,23,6,14,,beechjo01
644,John Beecher,24,BOS,C,6,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,10,62:26,10:24,0,3,0.0,4,7,0,1,,beechjo01
644,John Beecher,24,CGY,C,29,2,4,6,-5,31,1,0,1,0,3,0,1,31,6.5,58,302:46,10:26,85,108,44.0,27,16,6,13,,beechjo01
645,Michael Benning,24,FLA,D,18,2,4,6,-4,2,2,0,0,0,3,1,0,15,13.3,51,304:14,16:54,0,0,,16,4,5,18,,bennimi01
646,Simon Benoit,27,TOR,D,73,0,6,6,-22,41,0,0,0,0,6,0,0,60,0.0,146,1262:37,17:18,0,0,,114,194,12,68,,benoisi01
647,Zach Bogosian,35,MIN,D,41,2,4,6,8,18,2,0,0,0,4,0,0,30,6.7,76,596:19,14:33,0,1,0.0,37,47,10,32,,bogosza01
648,Jaroslav Chmelar,22,NYR,RW,28,4,2,6,-2,11,4,0,0,1,2,0,0,23,17.4,42,256:14,9:09,0,4,0.0,16,53,6,4,,chmelja01
649,Connor Clifton,30,PIT,D,50,2,4,6,5,53,2,0,0,1,4,0,0,35,5.7,114,838:17,16:46,0,0,,84,180,13,40,,cliftco01
650,Brendan Gaunce,31,CBJ,C,25,2,4,6,-1,12,0,0,2,1,4,0,0,29,6.9,61,297:34,11:54,103,78,56.9,21,44,6,7,,gauncbr01
651,Jordan Greenway,28,BUF,LW,40,1,5,6,-10,29,1,0,0,0,5,0,0,32,3.1,68,497:48,12:27,8,25,24.2,22,57,6,19,,greenjo02
652,Daemon Hunt,23,MIN,D,32,0,6,6,-3,6,0,0,0,0,6,0,0,19,0.0,43,397:43,12:26,0,0,,43,21,2,14,,huntda01
653,Pierre-Olivier Joseph,26,VAN,D,31,1,5,6,-16,8,1,0,0,0,5,0,0,22,4.5,55,412:27,13:18,0,0,,28,18,9,25,,joseppi01
654,David Kämpf,31,2TM,C,40,2,4,6,-13,12,2,0,0,0,4,0,0,36,5.6,65,589:08,14:44,289,264,52.3,26,45,6,18,,kampfda01
654,David Kämpf,31,VAN,C,38,2,4,6,-12,10,2,0,0,0,4,0,0,36,5.6,65,571:00,15:02,284,255,52.7,22,43,6,18,,kampfda01
654,David Kämpf,31,WSH,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,,0,18:08,9:04,5,9,35.7,4,2,0,0,,kampfda01
655,Tyson Kozak,23,BUF,C,46,2,4,6,-1,2,2,0,0,0,3,0,1,30,6.7,54,518:42,11:17,187,200,48.3,37,120,12,29,,kozakty01
656,Brad Lambert,22,WPG,C,25,3,3,6,-5,6,3,0,0,0,2,1,0,27,11.1,50,270:09,10:48,4,10,28.6,6,22,2,16,,lambebr01
657,Curtis Lazar,30,EDM,C,45,4,2,6,-3,10,4,0,0,1,2,0,0,30,13.3,71,401:23,8:55,178,113,61.2,20,95,3,9,,lazarcu01
658,Rutger McGroarty,21,PIT,RW,24,3,3,6,-3,4,3,0,0,0,3,0,0,37,8.1,63,287:04,11:58,8,9,47.1,8,26,4,15,,mcgroru01
659,Zach Metsa,27,BUF,D,43,2,4,6,16,8,2,0,0,1,4,0,0,24,8.3,56,471:37,10:58,0,0,,31,5,5,28,,metsaza01
660,Scott Morrow,23,NYR,D,29,0,6,6,-5,4,0,0,0,0,4,2,0,24,0.0,91,454:24,15:40,0,0,,29,11,5,21,,morrosc02
661,Urho Vaakanainen,27,NYR,D,34,0,6,6,0,14,0,0,0,0,6,0,0,23,0.0,66,471:05,13:51,0,0,,26,11,5,22,,vaakaur01
662,Zach Aston-Reese,31,CBJ,C,27,1,4,5,-1,12,1,0,0,0,4,0,0,17,5.9,31,262:48,9:44,7,18,28.0,17,78,2,10,,astonza01
663,Arshdeep Bains,25,VAN,F,28,1,4,5,-3,12,1,0,0,0,3,1,0,18,5.6,31,257:46,9:12,2,12,14.3,5,24,6,11,,bainsar01
664,Jacob Bernard-Docker,25,DET,D,63,1,4,5,0,25,1,0,0,0,4,0,0,41,2.4,113,933:03,14:49,0,0,,87,66,8,41,,bernaja01
665,Kyle Capobianco,28,DAL,D,33,2,3,5,1,8,2,0,0,0,3,0,0,18,11.1,66,400:24,12:08,0,0,,27,12,9,20,,capobky01
666,Adam Edstrom,25,NYR,C,35,3,2,5,1,2,3,0,0,1,2,0,0,31,9.7,54,331:08,9:28,7,14,33.3,22,65,5,18,,edstrad01
667,Benoit-Olivier Groulx,25,TOR,C,13,3,2,5,4,0,2,0,1,2,2,0,0,15,20.0,32,204:00,15:42,58,97,37.4,6,34,0,11,,groulbe01
668,Avery Hayes,23,PIT,F,16,5,0,5,-4,12,5,0,0,0,0,0,0,26,19.2,54,178:42,11:10,1,4,20.0,9,23,5,8,,hayesav01
669,Nils Höglander,25,VAN,LW,38,2,3,5,-4,8,2,0,0,0,3,0,0,35,5.7,89,437:50,11:31,1,0,100.0,8,52,5,26,,hoglani01
670,Isaac Howard,21,EDM,LW,29,2,3,5,-6,12,2,0,0,0,3,0,0,36,5.6,74,299:01,10:19,0,0,,5,7,2,17,,howaris01
671,Arttu Hyry,24,DAL,F,20,3,2,5,1,2,2,0,1,0,2,0,0,24,12.5,41,235:31,11:47,121,88,57.9,6,32,4,12,,hyryar01
672,Max Jones,27,EDM,LW,21,3,2,5,3,9,3,0,0,2,2,0,0,22,13.6,38,175:16,8:21,0,0,,3,56,5,8,,jonesma03
673,Jiri Kulich,21,BUF,C,12,3,2,5,-4,4,3,0,0,0,2,0,0,20,15.0,43,196:22,16:22,68,95,41.7,12,9,1,10,,kulicji01
674,Zachary L'Heureux,22,NSH,LW,25,4,1,5,3,21,4,0,0,0,0,1,0,32,12.5,64,334:46,13:23,3,4,42.9,15,64,5,16,,lheurza01
675,Tanner Laczynski,28,VEG,C,10,0,5,5,0,4,0,0,0,0,4,1,0,12,0.0,24,107:42,10:46,38,40,48.7,5,2,3,5,,laczyta01
676,Nikolas Matinpalo,27,OTT,D,50,0,5,5,-1,16,0,0,0,0,4,0,1,37,0.0,100,781:22,15:38,0,0,,55,49,11,38,,matinni01
677,Jacob Melanson,22,SEA,RW,36,2,3,5,-9,32,2,0,0,0,3,0,0,33,6.1,80,337:12,9:22,1,0,100.0,13,188,4,15,,melanja01
678,Scott Sabourin,33,TBL,F,26,1,4,5,1,89,1,0,0,0,4,0,0,11,9.1,34,206:46,7:57,0,2,0.0,11,63,1,10,,sabousc01
679,Elias Salomonsson,21,WPG,D,32,1,4,5,-6,12,1,0,0,0,3,1,0,37,2.7,111,574:48,17:58,0,0,,27,50,2,35,,salomel01
680,David Tomasek,29,EDM,F,22,3,2,5,-6,10,3,0,0,0,0,2,0,30,10.0,52,236:41,10:46,30,34,46.9,6,17,3,12,,tomasda01
681,Joe Veleno,26,MTL,C,61,2,3,5,-12,19,2,0,0,1,3,0,0,52,3.8,100,737:34,12:05,163,153,51.6,32,166,8,19,,velenjo01
682,Sandis Vilmanis,22,FLA,LW,19,3,2,5,-1,4,3,0,0,0,2,0,0,15,20.0,30,197:33,10:24,3,1,75.0,5,39,5,11,,vilmasa01
683,Tim Washe,24,ANA,F,39,2,3,5,-6,14,2,0,0,0,3,0,0,33,6.1,76,470:02,12:03,225,163,58.0,25,91,12,11,,washeti01
684,Ozzy Wiesblatt,23,NSH,RW,40,1,4,5,-6,38,1,0,0,0,4,0,0,25,4.0,62,407:17,10:11,2,5,28.6,18,100,7,15,,wiesboz01
685,Robby Fabbri,30,2TM,C,21,2,3,5,-4,16,2,0,0,1,3,0,0,30,6.7,46,247:58,11:48,5,4,55.6,9,44,0,7,,fabbrro01
685,Robby Fabbri,30,STL,C,15,1,3,4,-3,12,1,0,0,0,3,0,0,17,5.9,28,188:55,12:36,4,2,66.7,8,34,0,6,,fabbrro01
685,Robby Fabbri,30,MIN,C,6,1,0,1,-1,4,1,0,0,1,0,0,0,13,7.7,18,59:03,9:51,1,2,33.3,1,10,0,1,,fabbrro01
686,Jack Finley,23,2TM,C,44,2,3,5,2,38,2,0,0,1,3,0,0,26,7.7,45,427:12,9:43,201,194,50.9,9,75,1,12,,finleja01
686,Jack Finley,23,TBL,C,22,2,1,3,2,21,2,0,0,1,1,0,0,11,18.2,19,185:08,8:25,83,88,48.5,5,37,0,5,,finleja01
686,Jack Finley,23,STL,C,22,0,2,2,0,17,0,0,0,0,2,0,0,15,0.0,26,242:04,11:00,118,106,52.7,4,38,1,7,,finleja01
687,Tobias Björnfot,24,FLA,D,19,2,2,4,1,2,2,0,0,0,2,0,0,12,16.7,26,269:25,14:11,0,0,,23,14,2,10,,bjornto01
688,Adam Boqvist,25,NYI,D,28,0,4,4,-9,8,0,0,0,0,3,1,0,17,0.0,51,366:41,13:06,0,0,,23,11,5,11,,boqviad01
689,Joshua Dunne,27,BUF,C,34,1,3,4,-7,38,1,0,0,0,3,0,0,29,3.4,61,322:10,9:29,66,56,54.1,16,40,6,16,,dunnejo01
690,Haydn Fleury,29,WPG,D,38,2,2,4,-18,12,2,0,0,0,2,0,0,26,7.7,70,529:14,13:56,0,0,,56,54,8,28,,fleurha01
691,Filip Hallander,25,PIT,C,13,1,3,4,4,2,0,0,1,1,3,0,0,22,4.5,47,170:51,13:09,0,2,0.0,5,3,2,12,,hallafi01
692,Konsta Helenius,19,BUF,F,9,1,3,4,1,0,1,0,0,0,3,0,0,15,6.7,24,107:11,11:55,10,14,41.7,3,10,1,6,,helenko01
693,Samuel Honzek,21,CGY,LW,18,2,2,4,1,2,2,0,0,0,2,0,0,22,9.1,42,222:09,12:21,6,5,54.5,6,35,1,9,,honzesa01
694,John Leonard,27,DET,LW,11,2,2,4,-3,0,2,0,0,0,0,2,0,11,18.2,30,126:31,11:30,0,0,,9,12,2,13,,leonajo01
695,Theo Lindstein,21,STL,D,17,2,2,4,6,6,2,0,0,1,2,0,0,20,10.0,50,267:56,15:46,0,0,,14,8,1,9,,lindsth01
696,Mackenzie MacEachern,31,VAN,LW,8,1,3,4,0,12,1,0,0,0,3,0,0,6,16.7,10,81:28,10:11,1,1,50.0,6,10,1,3,,maceama01
697,Jacob Markström,36,NJD,G,44,0,4,4,0,13,0,0,0,0,1,2,1,0,,1,2544:01,57:49,0,0,,0,0,0,22,,marksja02
698,Tomáš Nosek,33,FLA,C,21,2,2,4,-8,4,2,0,0,1,2,0,0,8,25.0,38,296:24,14:07,104,121,46.2,12,51,3,14,,nosekto01
699,Liam O'Brien,31,UTA,C,38,3,1,4,-6,43,3,0,0,0,1,0,0,35,8.6,86,347:37,9:09,6,3,66.7,14,115,1,11,,obrieli01
700,Ilya Protas,19,WSH,LW,4,1,3,4,1,2,0,1,0,0,3,0,0,7,14.3,10,63:34,15:54,19,23,45.2,2,0,1,1,,protail01
701,Josh Samanski,23,EDM,F,24,2,2,4,2,6,2,0,0,0,2,0,0,9,22.2,26,253:24,10:34,54,58,48.2,14,27,6,10,,samanjo01
702,Adam Sykora,21,NYR,LW,11,3,1,4,0,5,3,0,0,0,1,0,0,15,20.0,27,122:55,11:10,1,1,50.0,10,20,2,3,,sykorad01
703,Colton White,28,NJD,D,23,0,4,4,2,2,0,0,0,0,4,0,0,14,0.0,32,281:53,12:15,0,0,,16,23,4,21,,whiteco03
704,Jared Wright,23,LAK,RW,23,0,4,4,0,4,0,0,0,0,4,0,0,32,0.0,54,262:55,11:26,0,1,0.0,18,27,4,7,,wrighja03
705,Arber Xhekaj,25,MTL,D,65,1,3,4,-8,116,1,0,0,0,3,0,0,40,2.5,125,742:28,11:25,0,0,,43,178,2,35,,xhekaar01
706,Curtis Douglas,25,2TM,C,43,1,3,4,-3,108,1,0,0,0,3,0,0,29,3.4,58,290:15,6:45,6,7,46.2,12,64,6,18,,douglcu01
